279,240
252, 
231, 
236, 
251, 
239, 
243, 
240, 
242, 
245, 
242, 
243, 
242, 
234, 
236, 
238, 
240, 
245, 
243, 
245, 
247, 
243, 
249, 
244, 
241, 
243, 
240, 
243, 
247, 
247, 
244, 
250, 
247, 
246, 
243, 
238, 
237, 
244, 
244, 
246, 
246, 
240, 
244, 
239, 
239, 
235, 
235, 
233, 
235, 
238, 
242, 
238, 
242, 
239, 
237, 
239, 
237, 
236, 
236, 
237, 
236, 
240, 
236, 
240, 
241, 
244, 
242, 
240, 
235, 
232, 
236, 
236, 
234, 
235, 
228, 
226, 
220, 
200, 
198, 
233, 
263, 
255, 
254, 
254, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
, 
